Fecha,Mediciones 0 a 8,Mediciones 8 a 16,Mediciones 16 a 24,Estación
2020-03-01,19,,,parque-centenario
2020-03-01,,14,,parque-centenario
2020-03-01,,,25,parque-centenario
2020-03-02,15,,,parque-centenario
2020-03-02,,17,,parque-centenario
2020-03-02,,,25,parque-centenario
2020-03-03,16,,,parque-centenario
2020-03-03,,13,,parque-centenario
2020-03-03,,,19,parque-centenario
2020-03-04,13,,,parque-centenario
2020-03-04,,18,,parque-centenario
2020-03-04,,,17,parque-centenario
2020-03-05,10,,,parque-centenario
2020-03-05,,13,,parque-centenario
2020-03-05,,,17,parque-centenario
2020-03-06,12,,,parque-centenario
2020-03-06,,14,,parque-centenario
2020-03-06,,,21,parque-centenario
2020-03-07,11,,,parque-centenario
2020-03-07,,9,,parque-centenario
2020-03-07,,,24,parque-centenario
2020-03-08,15,,,parque-centenario
2020-03-08,,13,,parque-centenario
2020-03-08,,,31,parque-centenario
2020-03-09,21,,,parque-centenario
2020-03-09,,15,,parque-centenario
2020-03-09,,,15,parque-centenario
2020-03-10,10,,,parque-centenario
2020-03-10,,12,,parque-centenario
2020-03-10,,,13,parque-centenario
2020-03-11,11,,,parque-centenario
2020-03-11,,17,,parque-centenario
2020-03-11,,,17,parque-centenario
2020-03-12,16,,,parque-centenario
2020-03-12,,s/d,,parque-centenario
2020-03-12,,,56,parque-centenario
2020-03-13,18,,,parque-centenario
2020-03-13,,20,,parque-centenario
2020-03-13,,,35,parque-centenario
2020-03-14,11,,,parque-centenario
2020-03-14,,17,,parque-centenario
2020-03-14,,,15,parque-centenario
2020-03-15,10,,,parque-centenario
2020-03-15,,7,,parque-centenario
2020-03-15,,,12,parque-centenario
2020-03-16,19,,,parque-centenario
2020-03-16,,12,,parque-centenario
2020-03-16,,,16,parque-centenario
2020-03-17,11,,,parque-centenario
2020-03-17,,17,,parque-centenario
2020-03-17,,,14,parque-centenario
2020-03-18,9,,,parque-centenario
2020-03-18,,16,,parque-centenario
2020-03-18,,,19,parque-centenario
2020-03-19,13,,,parque-centenario
2020-03-19,,13,,parque-centenario
2020-03-19,,,21,parque-centenario
2020-03-20,22,,,parque-centenario
2020-03-20,,14,,parque-centenario
2020-03-20,,,19,parque-centenario
2020-03-21,14,,,parque-centenario
2020-03-21,,10,,parque-centenario
2020-03-21,,,18,parque-centenario
2020-03-22,14,,,parque-centenario
2020-03-22,,7,,parque-centenario
2020-03-22,,,11,parque-centenario
2020-03-23,6,,,parque-centenario
2020-03-23,,4,,parque-centenario
2020-03-23,,,10,parque-centenario
2020-03-24,6,,,parque-centenario
2020-03-24,,4,,parque-centenario
2020-03-24,,,15,parque-centenario
2020-03-25,6,,,parque-centenario
2020-03-25,,9,,parque-centenario
2020-03-25,,,8,parque-centenario
2020-03-26,6,,,parque-centenario
2020-03-26,,10,,parque-centenario
2020-03-26,,,8,parque-centenario
2020-03-27,6,,,parque-centenario
2020-03-27,,9,,parque-centenario
2020-03-27,,,13,parque-centenario
2020-03-28,8,,,parque-centenario
2020-03-28,,9,,parque-centenario
2020-03-28,,,20,parque-centenario
2020-03-29,6,,,parque-centenario
2020-03-29,,7,,parque-centenario
2020-03-29,,,18,parque-centenario
2020-03-30,9,,,parque-centenario
2020-03-30,,8,,parque-centenario
2020-03-30,,,6,parque-centenario
2020-03-31,3,,,parque-centenario
2020-03-31,,4,,parque-centenario
2020-03-31,,,6,parque-centenario
2020-04-01,3,,,parque-centenario
2020-04-01,,8,,parque-centenario
2020-04-01,,,12,parque-centenario
2020-04-02,4,,,parque-centenario
2020-04-02,,5,,parque-centenario
2020-04-02,,,8,parque-centenario
2020-04-03,7,,,parque-centenario
2020-04-03,,10,,parque-centenario
2020-04-03,,,12,parque-centenario
2020-04-04,6,,,parque-centenario
2020-04-04,,7,,parque-centenario
2020-04-04,,,16,parque-centenario
2020-04-05,13,,,parque-centenario
2020-04-05,,7,,parque-centenario
2020-04-05,,,16,parque-centenario
2020-04-06,11,,,parque-centenario
2020-04-06,,5,,parque-centenario
2020-04-06,,,9,parque-centenario
2020-04-07,8,,,parque-centenario
2020-04-07,,10,,parque-centenario
2020-04-07,,,14,parque-centenario
2020-04-08,14,,,parque-centenario
2020-04-08,,12,,parque-centenario
2020-04-08,,,15,parque-centenario
2020-04-09,20,,,parque-centenario
2020-04-09,,10,,parque-centenario
2020-04-09,,,11,parque-centenario
2020-04-10,16,,,parque-centenario
2020-04-10,,8,,parque-centenario
2020-04-10,,,7,parque-centenario
2020-04-11,6,,,parque-centenario
2020-04-11,,6,,parque-centenario
2020-04-11,,,11,parque-centenario
2020-04-12,11,,,parque-centenario
2020-04-12,,5,,parque-centenario
2020-04-12,,,12,parque-centenario
2020-04-13,9,,,parque-centenario
2020-04-13,,18,,parque-centenario
2020-04-13,,,12,parque-centenario
2020-04-14,7,,,parque-centenario
2020-04-14,,10,,parque-centenario
2020-04-14,,,13,parque-centenario
2020-04-15,8,,,parque-centenario
2020-04-15,,10,,parque-centenario
2020-04-15,,,20,parque-centenario
2020-04-16,18,,,parque-centenario
2020-04-16,,20,,parque-centenario
2020-04-16,,,30,parque-centenario
2020-04-17,18,,,parque-centenario
2020-04-17,,11,,parque-centenario
2020-04-17,,,24,parque-centenario
2020-04-18,12,,,parque-centenario
2020-04-18,,7,,parque-centenario
2020-04-18,,,15,parque-centenario
2020-04-19,8,,,parque-centenario
2020-04-19,,5,,parque-centenario
2020-04-19,,,21,parque-centenario
2020-04-20,20,,,parque-centenario
2020-04-20,,24,,parque-centenario
2020-04-20,,,30,parque-centenario
2020-04-21,16,,,parque-centenario
2020-04-21,,11,,parque-centenario
2020-04-21,,,10,parque-centenario
2020-04-22,12,,,parque-centenario
2020-04-22,,14,,parque-centenario
2020-04-22,,,12,parque-centenario
2020-04-23,8,,,parque-centenario
2020-04-23,,13,,parque-centenario
2020-04-23,,,20,parque-centenario
2020-04-24,7,,,parque-centenario
2020-04-24,,20,,parque-centenario
2020-04-24,,,18,parque-centenario
2020-04-25,13,,,parque-centenario
2020-04-25,,10,,parque-centenario
2020-04-25,,,9,parque-centenario
2020-04-26,5,,,parque-centenario
2020-04-26,,5,,parque-centenario
