ubicacion,date,rango_hora,cantidad_total,fin_de_semana
9Julio,2020-03-01,0 a 8,11236,True
9Julio,2020-03-01,16 a 24,18939,True
9Julio,2020-03-01,8 a 16,17128,True
9Julio,2020-03-02,0 a 8,30701,False
9Julio,2020-03-02,16 a 24,75227,False
9Julio,2020-03-02,8 a 16,104919,False
9Julio,2020-03-03,0 a 8,29626,False
9Julio,2020-03-03,16 a 24,78832,False
9Julio,2020-03-03,8 a 16,104704,False
9Julio,2020-03-04,0 a 8,30790,False
9Julio,2020-03-04,16 a 24,79096,False
9Julio,2020-03-04,8 a 16,103901,False
9Julio,2020-03-05,0 a 8,31196,False
9Julio,2020-03-05,16 a 24,90587,False
9Julio,2020-03-05,8 a 16,106813,False
9Julio,2020-03-06,0 a 8,34839,False
9Julio,2020-03-06,16 a 24,89410,False
9Julio,2020-03-06,8 a 16,113877,False
9Julio,2020-03-07,0 a 8,28670,True
9Julio,2020-03-07,16 a 24,61219,True
9Julio,2020-03-07,8 a 16,65144,True
9Julio,2020-03-08,0 a 8,32260,True
9Julio,2020-03-08,16 a 24,45347,True
9Julio,2020-03-08,8 a 16,33147,True
9Julio,2020-03-09,0 a 8,29952,False
9Julio,2020-03-09,16 a 24,70620,False
9Julio,2020-03-09,8 a 16,105453,False
9Julio,2020-03-10,0 a 8,29806,False
9Julio,2020-03-10,16 a 24,81938,False
9Julio,2020-03-10,8 a 16,105513,False
9Julio,2020-03-11,0 a 8,31603,False
9Julio,2020-03-11,16 a 24,77038,False
9Julio,2020-03-11,8 a 16,101723,False
9Julio,2020-03-12,0 a 8,30382,False
9Julio,2020-03-12,16 a 24,85015,False
9Julio,2020-03-12,8 a 16,106780,False
9Julio,2020-03-13,0 a 8,32290,False
9Julio,2020-03-13,16 a 24,85365,False
9Julio,2020-03-13,8 a 16,112185,False
9Julio,2020-03-14,0 a 8,24939,True
9Julio,2020-03-14,16 a 24,45131,True
9Julio,2020-03-14,8 a 16,51786,True
9Julio,2020-03-15,0 a 8,24538,True
9Julio,2020-03-15,16 a 24,34511,True
9Julio,2020-03-15,8 a 16,26297,True
9Julio,2020-03-16,0 a 8,28057,False
9Julio,2020-03-16,16 a 24,67608,False
9Julio,2020-03-16,8 a 16,103621,False
9Julio,2020-03-17,0 a 8,24162,False
9Julio,2020-03-17,16 a 24,57743,False
9Julio,2020-03-17,8 a 16,95780,False
9Julio,2020-03-18,0 a 8,22329,False
9Julio,2020-03-18,16 a 24,55337,False
9Julio,2020-03-18,8 a 16,92654,False
9Julio,2020-03-19,0 a 8,21589,False
9Julio,2020-03-19,16 a 24,64549,False
9Julio,2020-03-19,8 a 16,93516,False
9Julio,2020-03-20,0 a 8,11749,False
9Julio,2020-03-20,16 a 24,14845,False
9Julio,2020-03-20,8 a 16,26808,False
9Julio,2020-03-21,0 a 8,5529,True
9Julio,2020-03-21,16 a 24,4731,True
9Julio,2020-03-21,8 a 16,10958,True
9Julio,2020-03-22,0 a 8,2700,True
9Julio,2020-03-22,16 a 24,2604,True
9Julio,2020-03-22,8 a 16,4107,True
9Julio,2020-03-23,0 a 8,2784,False
9Julio,2020-03-23,16 a 24,5931,False
9Julio,2020-03-23,8 a 16,5472,False
9Julio,2020-03-24,0 a 8,3691,False
9Julio,2020-03-24,16 a 24,6119,False
9Julio,2020-03-24,8 a 16,6294,False
9Julio,2020-03-25,0 a 8,6910,False
9Julio,2020-03-25,16 a 24,12721,False
9Julio,2020-03-25,8 a 16,19221,False
9Julio,2020-03-26,0 a 8,7872,False
9Julio,2020-03-26,16 a 24,11115,False
9Julio,2020-03-26,8 a 16,17852,False
9Julio,2020-03-27,0 a 8,7386,False
9Julio,2020-03-27,16 a 24,10745,False
9Julio,2020-03-27,8 a 16,17789,False
9Julio,2020-03-28,0 a 8,4811,True
9Julio,2020-03-28,16 a 24,5485,True
9Julio,2020-03-28,8 a 16,9793,True
9Julio,2020-03-29,0 a 8,2241,True
9Julio,2020-03-29,16 a 24,4782,True
9Julio,2020-03-29,8 a 16,4807,True
9Julio,2020-03-30,0 a 8,6798,False
9Julio,2020-03-30,16 a 24,10874,False
9Julio,2020-03-30,8 a 16,16789,False
9Julio,2020-03-31,0 a 8,4773,False
9Julio,2020-03-31,16 a 24,7695,False
9Julio,2020-03-31,8 a 16,9727,False
9Julio,2020-04-01,0 a 8,8975,False
9Julio,2020-04-01,16 a 24,11933,False
9Julio,2020-04-01,8 a 16,22469,False
9Julio,2020-04-02,0 a 8,7896,False
9Julio,2020-04-02,16 a 24,12563,False
9Julio,2020-04-02,8 a 16,19837,False
9Julio,2020-04-03,0 a 8,8364,False
9Julio,2020-04-03,16 a 24,14212,False
9Julio,2020-04-03,8 a 16,24089,False
9Julio,2020-04-04,0 a 8,5626,True
9Julio,2020-04-04,16 a 24,7386,True
9Julio,2020-04-04,8 a 16,11890,True
9Julio,2020-04-05,0 a 8,3267,True
9Julio,2020-04-05,16 a 24,7211,True
9Julio,2020-04-05,8 a 16,7042,True
9Julio,2020-04-06,0 a 8,8377,False
9Julio,2020-04-06,16 a 24,14774,False
9Julio,2020-04-06,8 a 16,24421,False
9Julio,2020-04-07,0 a 8,9145,False
9Julio,2020-04-07,16 a 24,15226,False
9Julio,2020-04-07,8 a 16,25488,False
9Julio,2020-04-08,0 a 8,9654,False
9Julio,2020-04-08,16 a 24,15986,False
9Julio,2020-04-08,8 a 16,26563,False
9Julio,2020-04-09,0 a 8,7899,False
9Julio,2020-04-09,16 a 24,11243,False
9Julio,2020-04-09,8 a 16,19440,False
9Julio,2020-04-10,0 a 8,4092,False
9Julio,2020-04-10,16 a 24,7126,False
9Julio,2020-04-10,8 a 16,9253,False
9Julio,2020-04-11,0 a 8,4804,True
9Julio,2020-04-11,16 a 24,6189,True
9Julio,2020-04-11,8 a 16,11574,True
9Julio,2020-04-12,0 a 8,2516,True
9Julio,2020-04-12,16 a 24,6198,True
9Julio,2020-04-12,8 a 16,5286,True
9Julio,2020-04-13,0 a 8,8890,False
9Julio,2020-04-13,16 a 24,15798,False
9Julio,2020-04-13,8 a 16,29006,False
9Julio,2020-04-14,0 a 8,9436,False
9Julio,2020-04-14,16 a 24,16571,False
9Julio,2020-04-14,8 a 16,28768,False
9Julio,2020-04-15,0 a 8,9481,False
9Julio,2020-04-15,16 a 24,17752,False
9Julio,2020-04-15,8 a 16,31165,False
9Julio,2020-04-16,0 a 8,10412,False
9Julio,2020-04-16,16 a 24,19725,False
9Julio,2020-04-16,8 a 16,34359,False
9Julio,2020-04-17,0 a 8,10726,False
9Julio,2020-04-17,16 a 24,19872,False
9Julio,2020-04-17,8 a 16,35694,False
9Julio,2020-04-18,0 a 8,6225,True
9Julio,2020-04-18,16 a 24,8701,True
9Julio,2020-04-18,8 a 16,14389,True
9Julio,2020-04-19,0 a 8,3313,True
9Julio,2020-04-19,16 a 24,8081,True
9Julio,2020-04-19,8 a 16,6747,True
9Julio,2020-04-20,0 a 8,10948,False
9Julio,2020-04-20,16 a 24,19643,False
9Julio,2020-04-20,8 a 16,34411,False
9Julio,2020-04-21,0 a 8,10597,False
9Julio,2020-04-21,16 a 24,20386,False
9Julio,2020-04-21,8 a 16,35137,False
9Julio,2020-04-22,0 a 8,11346,False
9Julio,2020-04-22,16 a 24,19931,False
9Julio,2020-04-22,8 a 16,35248,False
9Julio,2020-04-23,0 a 8,11325,False
9Julio,2020-04-23,16 a 24,21116,False
9Julio,2020-04-23,8 a 16,38722,False
9Julio,2020-04-24,0 a 8,11447,False
9Julio,2020-04-24,16 a 24,21716,False
9Julio,2020-04-24,8 a 16,40970,False
9Julio,2020-04-25,0 a 8,6208,True
9Julio,2020-04-25,16 a 24,8645,True
9Julio,2020-04-25,8 a 16,15920,True
